sample_name	seq_run_id	fwd_read	rev_read
N2ax_pheno_A	D22-2072	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2072-5600G/220224Chi_D22-2072_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2072-5600G/220224Chi_D22-2072_2_sequence.fastq
N2ax_pheno_B	D22-2073	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2073-5600G/220224Chi_D22-2073_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2073-5600G/220224Chi_D22-2073_2_sequence.fastq
N2ax_pheno_C	D22-2074	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2074-5600G/220224Chi_D22-2074_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2074-5600G/220224Chi_D22-2074_2_sequence.fastq
N2_A1A_ctrl_A	D22-2075	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2075-5600G/220224Chi_D22-2075_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2075-5600G/220224Chi_D22-2075_2_sequence.fastq
N2_A1A_ctrl_B	D22-2076	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2076-5600G/220224Chi_D22-2076_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2076-5600G/220224Chi_D22-2076_2_sequence.fastq
N2_A1A_ctrl_C	D22-2077	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2077-5600G/220224Chi_D22-2077_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2077-5600G/220224Chi_D22-2077_2_sequence.fastq
N2_A1A_LTD_A	D22-2078	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2078-5600G/220224Chi_D22-2078_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2078-5600G/220224Chi_D22-2078_2_sequence.fastq
N2_A1A_LTD_B	D22-2079	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2079-5600G/220224Chi_D22-2079_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2079-5600G/220224Chi_D22-2079_2_sequence.fastq
N2_A1A_LTD_C	D22-2080	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2080-5600G/220224Chi_D22-2080_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2080-5600G/220224Chi_D22-2080_2_sequence.fastq
N2ax_ctrl_A	D22-2081	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2081-5600G/220224Chi_D22-2081_1_sequence.fastq	/nfs/chisholmlab001/chisholmlab/experiment_repository/2022/SNP_calling/dark_adapted/D22-2081-5600G/220224Chi_D22-2081_2_sequence.fastq
